Player,2018/19,,,,,
Michael Beasley ,"$3,500,000 ",$0 ,$0 ,$0 ,$0 ,$0 
Jamal Murray ,"$3,499,800 ","$4,444,746 ","$5,960,404 ",$0 ,$0 ,$0 
Rodney Hood ,"$3,472,887 ",$0 ,$0 ,$0 ,$0 ,$0 
Justise Winslow ,"$3,448,926 ","$13,000,000 ","$13,000,000 ","$13,000,000 ",$0 ,$0 
Malik Monk ,"$3,447,480 ","$4,028,400 ","$5,345,687 ","$7,318,245 ",$0 ,$0 
Cameron Payne ,"$3,440,356 ",$0 ,$0 ,$0 ,$0 ,$0 
Brook Lopez ,"$3,382,000 ",$0 ,$0 ,$0 ,$0 ,$0 
Shai Gilgeous-Alexander ,"$3,375,360 ","$3,952,920 ","$4,141,320 ","$5,495,532 ","$7,523,383 ",$0 
Trey Lyles ,"$3,364,249 ","$3,706,357 ",$0 ,$0 ,$0 ,$0 
Ekpe Udoh ,"$3,360,000 ",$0 ,$0 ,$0 ,$0 ,$0 
Devin Booker ,"$3,314,365 ","$27,250,000 ","$29,430,000 ","$31,610,000 ","$33,790,000 ","$36,493,200 "
Myles Turner ,"$3,294,994 ","$18,000,000 ","$18,000,000 ","$18,000,000 ","$18,000,000 ",$0 
Luke Kennard ,"$3,275,280 ","$3,827,160 ","$5,273,826 ","$7,256,785 ",$0 ,$0 
Troy Daniels ,"$3,258,539 ",$0 ,$0 ,$0 ,$0 ,$0 
Kelly Oubre ,"$3,208,630 ","$4,485,665 ",$0 ,$0 ,$0 ,$0 
Miles Bridges ,"$3,206,640 ","$3,755,400 ","$3,934,320 ","$5,421,493 ","$7,469,530 ",$0 
Marquese Chriss ,"$3,206,160 ",$0 ,$0 ,$0 ,$0 ,$0 
Tomas Satoransky ,"$3,129,187 ",$0 ,$0 ,$0 ,$0 ,$0 
Bryn Forbes ,"$3,125,000 ","$2,875,000 ",$0 ,$0 ,$0 ,$0 
Donovan Mitchell ,"$3,111,480 ","$3,635,760 ","$5,195,501 ","$7,185,378 ",$0 ,$0 
Terry Rozier ,"$3,050,389 ","$4,285,797 ",$0 ,$0 ,$0 ,$0 
Jerome Robinson ,"$3,050,160 ","$3,572,280 ","$3,742,440 ","$5,347,946 ","$7,396,210 ",$0 
Yogi Ferrell ,"$3,000,000 ","$3,000,000 ",$0 ,$0 ,$0 ,$0 
Elfrid Payton ,"$3,000,000 ",$0 ,$0 ,$0 ,$0 ,$0 
Bam Adebayo ,"$2,955,840 ","$3,454,080 ","$5,115,492 ","$7,115,650 ",$0 ,$0 
Jakob Poeltl ,"$2,947,320 ","$3,754,885 ","$5,087,870 ",$0 ,$0 ,$0 
Michael Porter ,"$2,894,160 ","$3,389,400 ","$3,550,800 ","$5,258,735 ","$7,314,900 ",$0 
