Player,2016/17,,,
Tyler Ennis ,"$1,812,805 ",$0 ,$0 ,$0 
Sam Dekker ,"$1,798,878 ",$0 ,$0 ,$0 
Joffrey Lauvergne ,"$1,787,544 ",$0 ,$0 ,$0 
Henry Ellenson ,"$1,781,690 ","$4,093,269 ","$5,865,655 ",$0 
Gary Harris ,"$1,731,254 ",$0 ,$0 ,$0 
Jerian Grant ,"$1,717,830 ","$5,683,323 ",$0 ,$0 
Malik Beasley ,"$1,701,394 ",$0 ,$0 ,$0 
RJ Hunter ,"$1,254,874 ",$0 ,$0 ,$0 
Bruno Caboclo ,"$1,661,999 ","$4,059,664 ","$5,849,977 ",$0 
Delon Wright ,"$1,649,076 ","$5,661,538 ",$0 ,$0 
Jarrett Jack ,"$1,025,059 ",$0 ,$0 ,$0 
Caris LeVert ,"$1,633,394 ",$0 ,$0 ,$0 
David Lee ,"$1,622,289 ",$0 ,$0 ,$0 
Caron Butler ,"$1,622,289 ",$0 ,$0 ,$0 
Steve Novak ,"$1,622,289 ","$4,019,459 ","$5,820,176 ",$0 
Jason Terry ,"$1,622,289 ","$5,634,072 ",$0 ,$0 
Metta World Peace ,"$1,622,289 ","$5,634,072 ",$0 ,$0 
Brandon Bass ,"$1,622,289 ",$0 ,$0 ,$0 
Raymond Felton ,"$1,622,289 ","$3,986,049 ","$5,799,701 ",$0 
David West ,"$1,622,289 ",$0 ,$0 ,$0 
James Jones ,"$1,622,289 ",$0 ,$0 ,$0 
Chris Andersen ,"$1,622,289 ","$3,943,855 ","$5,765,916 ",$0 
Mitch McGary ,"$1,595,504 ",$0 ,$0 ,$0 
Justin Anderson ,"$1,583,083 ",$0 ,$0 ,$0 
Marcelo Huertas ,"$1,568,279 ",$0 ,$0 ,$0 
DeAndre Bembry ,"$1,568,028 ","$3,898,588 ","$5,727,026 ",$0 
Jordan Adams ,"$1,531,769 ",$0 ,$0 ,$0 
Demetrius Jackson ,"$1,516,003 ",$0 ,$0 ,$0 
Malachi Richardson ,"$1,505,422 ","$5,410,702 ",$0 ,$0 
Sasha Vujacic ,"$1,474,807 ",$0 ,$0 ,$0 
Gerald Green ,"$1,474,807 ","$3,773,534 ","$5,569,737 ",$0 
